name,party_affiliation,state,image_url,created_at,updated_at
"Max Miller","Republican","OH","https://upload.wikimedia.org/wikipedia/commons/4/45/MaxMiller118thCong.jpeg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Don Beyer","Democrat","VA","https://upload.wikimedia.org/wikipedia/commons/7/72/Rep._Don_Beyer%2C_official_portrait_%28118th_Congress%29.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Tom Carper","Democrat","DE","https://upload.wikimedia.org/wikipedia/commons/8/85/Tom_Carper%2C_official_portrait%2C_112th_Congress.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Kathy Castor","Democrat","FL","https://upload.wikimedia.org/wikipedia/commons/7/71/Kathy_Castor.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Gerry Connolly","Democrat","VA","https://upload.wikimedia.org/wikipedia/commons/b/b3/Gerry_Connolly_official_portrait_2022_%28cropped%29.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Michael Burgess","Republican","TX","https://upload.wikimedia.org/wikipedia/commons/0/08/Michael_Burgess_117th_Congress.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Mitch McConnell","Republican","KY","https://upload.wikimedia.org/wikipedia/commons/0/0b/Mitch_McConnell_2016_official_photo_%281%29.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Rick Scott","Republican","FL","https://upload.wikimedia.org/wikipedia/commons/1/1d/Official_Portrait_of_Senator_Rick_Scott_%28R-FL%29.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Mark Green","Republican","TN","https://upload.wikimedia.org/wikipedia/commons/d/de/Mark_Green%2C_official_portrait%2C_116th_Congress.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Bill Keating","Democrat","MA","https://upload.wikimedia.org/wikipedia/commons/2/22/Bill_Keating_clerk_photo.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Mike Garcia","Republican","CA","https://upload.wikimedia.org/wikipedia/commons/d/d4/Mike_Garcia%2C_official_portrait%2C_116th_Congress_%28cropped1%29.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"
"Pete Sessions","Republican","TX","https://upload.wikimedia.org/wikipedia/commons/2/29/Pete_Sessions.jpg","2024-04-04 16:20:57","2024-04-04 16:20:57"