official_id,stock_id,transaction_type,transaction_count,published_at,traded_at
1,1,buy,low,2024-04-01,2024-04-01
2,2,buy,med,2024-04-01,2024-03-28
3,3,buy,low,2024-03-29,2024-03-18
3,4,sell,low,2024-03-29,2024-03-18
3,5,buy,low,2024-03-29,2024-03-28
3,6,buy,low,2024-03-29,2024-03-28
3,7,buy,med,2024-03-29,2024-03-28
3,8,buy,low,2024-03-29,2024-03-28
3,9,sell,low,2024-03-29,2024-03-28
3,10,buy,low,2024-03-29,2024-03-28
3,11,sell,med,2024-03-29,2024-03-26
3,12,sell,med,2024-03-29,2024-03-26
3,13,sell,high,2024-03-29,2024-03-26
3,14,buy,high,2024-03-29,2024-03-26
3,15,buy,med,2024-03-29,2024-03-25
3,16,buy,med,2024-03-29,2024-03-25
3,17,sell,low,2024-03-29,2024-03-21
3,18,sell,low,2024-03-29,2024-03-21
3,19,buy,low,2024-03-29,2024-03-21
3,20,sell,high,2024-03-29,2024-03-19
3,21,buy,high,2024-03-29,2024-03-19
3,22,sell,high,2024-03-29,2024-03-19
3,23,buy,med,2024-03-29,2024-03-18
3,24,buy,low,2024-03-29,2024-03-15
3,25,sell,low,2024-03-29,2024-03-13
3,26,sell,low,2024-03-29,2024-03-13
3,27,buy,low,2024-03-29,2024-03-13
3,28,sell,low,2024-03-29,2024-03-13
3,29,sell,low,2024-03-29,2024-03-13
3,30,sell,low,2024-03-29,2024-03-11
3,31,buy,low,2024-03-29,2024-03-07
3,32,sell,high,2024-03-19,2024-03-07
3,33,buy,med,2024-03-29,2024-03-05
4,34,sell,med,2024-03-29,2024-03-28
5,35,sell,low,2024-03-25,2024-03-18
5,36,sell,low,2024-03-25,2024-03-18
5,37,sell,low,2024-03-25,2024-03-11
6,38,sell,low,2024-03-25,2024-03-11
7,39,buy,low,2024-03-19,2024-03-05
1,40,buy,med,2024-03-19,2024-03-18
8,41,sell,high,2024-03-15,2024-03-05
8,42,sell,high,2024-03-15,2024-03-05
9,43,sell,high,2024-04-08,2024-04-01
10,44,buy,low,2024-03-13,2024-03-07
11,45,buy,high,2024-03-13,2024-03-08
12,46,sell,low,2024-03-08,2024-03-07
12,47,sell,high,2024-03-08,2024-03-07
12,48,buy,med,2024-03-08,2024-03-07
12,49,buy,med,2024-03-08,2024-03-07